"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Evening workout 🏋️","9 Jan 2025, 20:44","9 Jan 2025, 21:43","","Chin Up (Weighted)",,"",3,"normal",5,8,,,
"Evening workout 🏋️","9 Jan 2025, 20:44","9 Jan 2025, 21:43","","Triceps Dip",,"",0,"normal",,10,,,
"Evening workout 🏋️","9 Jan 2025, 20:44","9 Jan 2025, 21:43","","Triceps Dip",,"",1,"normal",,6,,,
"Evening workout 🏋️","9 Jan 2025, 20:44","9 Jan 2025, 21:43","","Seated Cable Row - V Grip (Cable)",,"",0,"warmup",39,5,,,
"Evening workout 🏋️","9 Jan 2025, 20:44","9 Jan 2025, 21:43","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",59,10,,,
"Evening workout 🏋️","9 Jan 2025, 20:44","9 Jan 2025, 21:43","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",52,12,,,
"Evening workout 🏋️","9 Jan 2025, 20:44","9 Jan 2025, 21:43","","Single Arm Lateral Raise (Cable)",,"",0,"normal",4,12,,,
"Evening workout 🏋️","9 Jan 2025, 20:44","9 Jan 2025, 21:43","","Bicep Curl (Dumbbell)",,"",0,"normal",18,9,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Bulgarian Split Squat",,"",0,"warmup",,10,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Bulgarian Split Squat",,"",1,"warmup",20,5,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Bulgarian Split Squat",,"",2,"normal",30,8,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Bulgarian Split Squat",,"",3,"normal",28,8,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Incline Bench Press (Dumbbell)",,"",0,"warmup",20,10,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Incline Bench Press (Dumbbell)",,"",1,"warmup",30,5,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Incline Bench Press (Dumbbell)",,"",2,"normal",36,8,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Incline Bench Press (Dumbbell)",,"",3,"failure",34,6,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Seated Leg Curl (Machine)",,"",0,"warmup",20,10,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Seated Leg Curl (Machine)",,"",1,"normal",45,12,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Seated Leg Curl (Machine)",,"",2,"failure",39,15,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Meadows Rows (Barbell)",,"",0,"warmup",12.5,10,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Meadows Rows (Barbell)",,"",1,"normal",20,11,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Meadows Rows (Barbell)",,"",2,"normal",20,12,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Seated Lateral Raise (Dumbbell)",,"",0,"normal",12,9,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Hammer Curl (Preacher)",,"",0,"failure",12,11,,,
"Full Body","8 Jan 2025, 17:14","8 Jan 2025, 18:47","","Dead Hang",,"",0,"normal",,,,51,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Romanian Deadlift (Barbell)",,"Deficit",0,"warmup",50,5,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Romanian Deadlift (Barbell)",,"Deficit",1,"warmup",60,6,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Romanian Deadlift (Barbell)",,"Deficit",2,"warmup",100,3,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Romanian Deadlift (Barbell)",,"Deficit",3,"warmup",120,1,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Romanian Deadlift (Barbell)",,"Deficit",4,"normal",140,6,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Romanian Deadlift (Barbell)",,"Deficit",5,"normal",100,8,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Romanian Deadlift (Barbell)",,"Deficit",6,"normal",100,8,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Seated Calf Raise",,"",0,"warmup",20,6,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Seated Calf Raise",,"",1,"normal",50,16,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Seated Calf Raise",,"",2,"normal",50,13,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Leg Press (Machine)",,"",0,"warmup",50,10,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Leg Press (Machine)",,"",1,"warmup",100,6,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Leg Press (Machine)",,"",2,"normal",140,10,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Leg Press (Machine)",,"",3,"normal",140,10,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Leg Extension (Machine)",,"",0,"warmup",55,6,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Leg Extension (Machine)",,"",1,"normal",93,10,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Leg Extension (Machine)",,"",2,"normal",79,10,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Leg Extension (Machine)",,"",3,"dropset",55,3,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Leg Raise Parallel Bars",,"",0,"failure",,10,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Leg Raise Parallel Bars",,"",1,"failure",,6,,,
"Lower Body","6 Jan 2025, 14:49","6 Jan 2025, 16:11","","Knee Raise Parallel Bars",,"",0,"dropset",,6,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Reverse Fly Single Arm (Cable)",,"Pin number",0,"warmup",2,15,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Reverse Fly Single Arm (Cable)",,"Pin number",1,"normal",3,12,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Reverse Fly Single Arm (Cable)",,"Pin number",2,"normal",3,12,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Bench Press (Dumbbell)",,"",0,"warmup",18,12,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Bench Press (Dumbbell)",,"",1,"warmup",28,6,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Bench Press (Dumbbell)",,"",2,"normal",40,6,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Bench Press (Dumbbell)",,"",3,"normal",30,10,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Chin Up (Weighted)",,"",0,"warmup",,3,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Chin Up (Weighted)",,"",1,"warmup",10,3,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Chin Up (Weighted)",,"",2,"normal",20,5,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Chin Up (Weighted)",,"",3,"normal",,10,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Triceps Dip",,"",0,"failure",,9,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Triceps Dip",,"",1,"failure",,6,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Seated Cable Row - Bar Grip",,"",0,"warmup",32,5,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Seated Cable Row - Bar Grip",,"",1,"normal",59,10,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Seated Cable Row - Bar Grip",,"",2,"normal",52,10,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Single Arm Lateral Raise (Cable)",,"Pin on machine",0,"normal",4,12,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Single Arm Lateral Raise (Cable)",,"Pin on machine",1,"failure",3,14,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Bicep Curl (Cable)",,"Pin on machine",0,"failure",13,11,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Bicep Curl (Cable)",,"Pin on machine",1,"failure",12,8,,,
"Upper Body","31 Dec 2024, 14:46","31 Dec 2024, 16:45","","Bicep Curl (Cable)",,"Pin on machine",2,"dropset",6,8,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Bulgarian Split Squat",,"",0,"warmup",,10,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Bulgarian Split Squat",,"",1,"warmup",18,5,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Bulgarian Split Squat",,"",2,"warmup",22,4,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Bulgarian Split Squat",,"",3,"normal",30,9,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Bulgarian Split Squat",,"",4,"normal",28,8,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Incline Bench Press (Dumbbell)",,"",0,"warmup",18,10,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Incline Bench Press (Dumbbell)",,"",1,"warmup",28,6,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Incline Bench Press (Dumbbell)",,"",2,"normal",36,8,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Seated Leg Curl (Machine)",,"",0,"normal",52,10,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Seated Lateral Raise (Dumbbell)",,"",0,"warmup",4,5,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Seated Lateral Raise (Dumbbell)",,"",1,"normal",12,9,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Seated Lateral Raise (Dumbbell)",,"",2,"normal",10,11,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Seated Lateral Raise (Dumbbell)",,"",3,"dropset",6,7,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Hammer Curl (Preacher)",,"",0,"normal",14,9,,,
"Full Body","29 Dec 2024, 13:03","29 Dec 2024, 14:33","","Hammer Curl (Preacher)",,"",1,"normal",12,12,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Snatch Grip SLDL",,"",0,"warmup",20,10,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Snatch Grip SLDL",,"",1,"warmup",60,8,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Snatch Grip SLDL",,"",2,"warmup",100,6,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Snatch Grip SLDL",,"",3,"normal",120,8,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Snatch Grip SLDL",,"",4,"normal",110,8,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Snatch Grip SLDL",,"",5,"normal",100,7,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Leg Press (Machine)",,"",0,"warmup",,12,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Leg Press (Machine)",,"",1,"warmup",50,6,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Leg Press (Machine)",,"",2,"normal",120,10,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Leg Press (Machine)",,"",3,"normal",120,10,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Leg Press (Machine)",,"",4,"normal",120,10,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Leg Extension (Machine)",,"",0,"warmup",55,5,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Leg Extension (Machine)",,"",1,"normal",86,10,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Leg Extension (Machine)",,"",2,"failure",73,11,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Leg Extension (Machine)",,"",3,"dropset",45,5,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Seated Calf Raise",,"",0,"warmup",10,5,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Seated Calf Raise",,"",1,"failure",40,18,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Seated Calf Raise",,"",2,"failure",40,18,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Hanging Leg Raise",,"",0,"failure",,8,,,
"Lower Body","27 Dec 2024, 17:17","27 Dec 2024, 18:37","","Hanging Leg Raise",,"",1,"failure",,6,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Bench Press (Dumbbell)",,"",0,"warmup",18,15,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Bench Press (Dumbbell)",,"",1,"warmup",30,5,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Bench Press (Dumbbell)",,"",2,"normal",40,5,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Bench Press (Dumbbell)",,"",3,"normal",30,9,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Chin Up (Weighted)",,"",0,"warmup",,3,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Chin Up (Weighted)",,"",1,"normal",10,6,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Chin Up (Weighted)",,"",2,"failure",,7,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Triceps Dip (Weighted)",,"",0,"warmup",,4,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Triceps Dip (Weighted)",,"",1,"normal",15,4,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Triceps Dip (Weighted)",,"",2,"failure",,6,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Single Arm Lateral Raise (Cable)",,"",0,"normal",4,11,,,
"Upper Body","24 Dec 2024, 15:14","24 Dec 2024, 15:53","","Bicep Curl (Cable)",,"",0,"failure",12,12,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Bulgarian Split Squat",,"",0,"warmup",,10,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Bulgarian Split Squat",,"",1,"warmup",10,10,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Bulgarian Split Squat",,"",2,"normal",28,8,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Bulgarian Split Squat",,"",3,"normal",26,10,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Incline Bench Press (Dumbbell)",,"",0,"warmup",18,10,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Incline Bench Press (Dumbbell)",,"",1,"warmup",28,5,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Incline Bench Press (Dumbbell)",,"",2,"normal",34,10,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Incline Bench Press (Dumbbell)",,"",3,"failure",34,6,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Seated Leg Curl (Machine)",,"",0,"warmup",32,5,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Seated Leg Curl (Machine)",,"",1,"normal",45,15,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Seated Leg Curl (Machine)",,"",2,"normal",45,12,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Iso-Lateral Row (Machine)",,"",0,"warmup",15,5,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Iso-Lateral Row (Machine)",,"",1,"normal",35,10,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Iso-Lateral Row (Machine)",,"",2,"normal",35,10,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Hammer Curl (Preacher)",,"",0,"normal",12,12,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Hammer Curl (Preacher)",,"",1,"normal",10,12,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Seated Lateral Raise (Dumbbell)",,"",0,"normal",12,10,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Seated Lateral Raise (Dumbbell)",,"",1,"normal",10,12,,,
"Full Body","22 Dec 2024, 12:46","22 Dec 2024, 14:58","","Seated Lateral Raise (Dumbbell)",,"",2,"dropset",6,5,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Triceps Pushdown",,"",0,"warmup",14,10,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Triceps Pushdown",,"",1,"warmup",23,5,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Triceps Pushdown",,"",2,"normal",27,12,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Romanian Deadlift (Dumbbell)",,"",0,"warmup",22,12,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Romanian Deadlift (Dumbbell)",,"",1,"warmup",32,8,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Romanian Deadlift (Dumbbell)",,"",2,"normal",44,11,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Romanian Deadlift (Dumbbell)",,"",3,"normal",44,8,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Leg Press (Machine)",,"",0,"warmup",,12,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Leg Press (Machine)",,"",1,"warmup",40,6,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Leg Press (Machine)",,"",2,"warmup",80,5,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Leg Press (Machine)",,"",3,"normal",100,12,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Leg Press (Machine)",,"",4,"normal",100,12,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Leg Press (Machine)",,"",5,"normal",100,12,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Leg Extension (Machine)",,"",0,"warmup",45,6,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Leg Extension (Machine)",,"",1,"failure",79,10,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Leg Extension (Machine)",,"",2,"dropset",39,12,,,
"Lower Body","16 Dec 2024, 18:40","16 Dec 2024, 19:47","","Hanging Leg Raise",,"",0,"failure",,7,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Reverse Fly Single Arm (Cable)",,"",0,"normal",7.9,15,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Reverse Fly Single Arm (Cable)",,"",1,"normal",5.7,15,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Bench Press (Dumbbell)",,"",0,"warmup",22,15,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Bench Press (Dumbbell)",,"",1,"warmup",34,4,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Bench Press (Dumbbell)",,"",2,"normal",40,5,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Bench Press (Dumbbell)",,"",3,"normal",28,10,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Bench Press (Dumbbell)",,"",4,"failure",28,8,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Pull Up",,"",0,"normal",,10,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Chin Up",,"",0,"normal",,6,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Shoulder Press (Machine Plates)",,"",0,"warmup",15,5,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Shoulder Press (Machine Plates)",,"",1,"normal",25,8,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Shoulder Press (Machine Plates)",,"",2,"normal",20,6,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Seated Cable Row - Bar Grip",,"",0,"normal",52,12,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Seated Cable Row - Bar Grip",,"",1,"normal",45,12,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Seated Cable Row - Bar Grip",,"",2,"dropset",25,15,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Single Arm Lateral Raise (Cable)",,"",0,"failure",7.9,9,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Single Arm Lateral Raise (Cable)",,"",1,"dropset",5.7,3,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Triceps Extension (Cable)",0,"Single arm - no numbers on machine",0,"warmup",3,4,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Triceps Extension (Cable)",0,"Single arm - no numbers on machine",1,"failure",4,8,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Bicep Curl (Cable)",0,"No numbers on machine",0,"warmup",7,5,,,
"Upper Body","11 Dec 2024, 17:43","11 Dec 2024, 19:10","","Bicep Curl (Cable)",0,"No numbers on machine",1,"failure",11,12,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Good Morning (Barbell)",,"",0,"warmup",20,10,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Good Morning (Barbell)",,"",1,"warmup",40,5,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Good Morning (Barbell)",,"",2,"normal",60,6,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Good Morning (Barbell)",,"",3,"normal",50,12,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Incline Bench Press (Dumbbell)",,"",0,"warmup",20,8,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Incline Bench Press (Dumbbell)",,"",1,"warmup",30,5,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Incline Bench Press (Dumbbell)",,"",2,"normal",34,7,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Incline Bench Press (Dumbbell)",,"",3,"normal",34,6,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Seated Cable Row - Bar Grip",,"",0,"warmup",32,10,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Seated Cable Row - Bar Grip",,"",1,"normal",45,12,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Seated Cable Row - Bar Grip",,"",2,"normal",39,12,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Leg Extension (Machine)",,"",0,"warmup",39,8,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Leg Extension (Machine)",,"",1,"warmup",56,5,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Leg Extension (Machine)",,"",2,"normal",79,11,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Leg Extension (Machine)",,"",3,"failure",66,12,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Leg Extension (Machine)",,"",4,"dropset",45,5,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Lateral Raise (Machine)",,"",0,"warmup",27,8,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Lateral Raise (Machine)",,"",1,"normal",36,11,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Lateral Raise (Machine)",,"",2,"failure",32,6,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Lateral Raise (Machine)",,"",3,"dropset",27,2,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Triceps Dip",0,"",0,"failure",,8,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Triceps Dip",0,"",1,"failure",,6,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Push Up",0,"",0,"failure",,6,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Push Up",0,"",1,"failure",,5,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Kneeling Push Up",0,"",0,"failure",,4,,,
"Late night workout 🌙","2 Dec 2024, 20:59","2 Dec 2024, 22:15","","Kneeling Push Up",0,"",1,"failure",,4,,,
"Evening workout 🏋️","27 Nov 2024, 18:44","27 Nov 2024, 20:11","","Standing Leg Curls",,"",0,"warmup",,12,,,
"Evening workout 🏋️","27 Nov 2024, 18:44","27 Nov 2024, 20:11","","Standing Leg Curls",,"",1,"warmup",2.5,6,,,
"Evening workout 🏋️","27 Nov 2024, 18:44","27 Nov 2024, 20:11","","Standing Leg Curls",,"",2,"normal",5,12,,,
"Evening workout 🏋️","27 Nov 2024, 18:44","27 Nov 2024, 20:11","","Standing Leg Curls",,"",3,"failure",5,12,,,
"Evening workout 🏋️","27 Nov 2024, 18:44","27 Nov 2024, 20:11","","Bulgarian Split Squat",,"2 dumbells",0,"warmup",,10,,,
"Evening workout 🏋️","27 Nov 2024, 18:44","27 Nov 2024, 20:11","","Bulgarian Split Squat",,"2 dumbells",1,"warmup",14,5,,,
"Evening workout 🏋️","27 Nov 2024, 18:44","27 Nov 2024, 20:11","","Bulgarian Split Squat",,"2 dumbells",2,"warmup",22,3,,,
"Evening workout 🏋️","27 Nov 2024, 18:44","27 Nov 2024, 20:11","","Bulgarian Split Squat",,"2 dumbells",3,"normal",28,8,,,
"Evening workout 🏋️","27 Nov 2024, 18:44","27 Nov 2024, 20:11","","Bulgarian Split Squat",,"2 dumbells",4,"normal",26,8,,,
"Evening workout 🏋️","27 Nov 2024, 18:44","27 Nov 2024, 20:11","","Pendulum Squat (Machine)",,"",0,"warmup",,6,,,
